Explore_Iteration	MacroPopSize	MicroPopSize	Accuracy_Estimate	AveGenerality	ExpRules	Time(min)
64	22	26	0.625	0.5641025641025641	0.00016616185506184895
128	34	47	0.5625	0.5886524822695035	0.00036739110946655275
192	47	67	0.640625	0.5845771144278605	0.0005482713381449382
256	56	87	0.65625	0.586206896551724	0.0007144610087076823
320	69	113	0.65625	0.589970501474926	0.0008640408515930176
384	75	129	0.6875	0.5801033591731265	0.0010136604309082032
448	86	153	0.78125	0.5838779956427014	0.0011975685755411783
512	87	163	0.796875	0.5899795501022495	0.0013627250989278158
576	96	184	0.78125	0.5887681159420288	0.0015635053316752116
640	103	204	0.828125	0.5906862745098038	0.0017622828483581543
704	108	222	0.84375	0.5855855855855857	0.0019616325696309406
768	115	237	0.859375	0.5864978902953585	0.002171174685160319
832	118	253	0.828125	0.5876152832674568	0.0023816188176472982
896	122	266	0.84375	0.5870927318295736	0.0025866309801737468
960	129	288	0.859375	0.5856481481481483	0.002813470363616943
1024	135	302	0.875	0.5866445916114789	0.003821873664855957
1088	142	330	0.875	0.587878787878788	0.0041624665260314945
1152	151	352	0.859375	0.5842803030303032	0.004470225175221761
1216	156	363	0.859375	0.58356290174472	0.004779537518819173
1280	161	383	0.859375	0.5822454308093997	0.0051199555397033695
1344	169	399	0.875	0.5789473684210529	0.005445297559102376
1408	171	419	0.859375	0.5819411296738268	0.005795697371164958
1472	181	443	0.875	0.5782543265613245	0.006126801172892253
1536	189	463	0.90625	0.5748740100791939	0.006478524208068848
1600	193	481	0.90625	0.5731115731115736	0.006827008724212646
1664	198	509	0.921875	0.5713817943680424	0.00719305674235026
1728	196	529	0.9375	0.571833648393195	0.0075753609339396155
1792	200	551	0.921875	0.5719903206291594	0.00802296797434489
1856	206	567	0.9375	0.5726043503821283	0.0084327499071757
1920	211	591	0.953125	0.5724760293288212	0.008848293622334798
1984	216	617	0.984375	0.5707725553754726	0.009264520804087321
2048	220	633	0.984375	0.5703001579778828	0.010300211111704509
2112	227	657	0.984375	0.5705225773718923	0.01074901024500529
2176	227	669	0.984375	0.5729945191828599	0.011181183656056722
2240	231	689	0.984375	0.5723270440251571	0.011647180716196696
2304	236	709	0.984375	0.5702867889045603	0.012100096543629963
2368	239	731	0.984375	0.5702234382124942	0.012574255466461182
2432	243	755	0.984375	0.5695364238410595	0.01302883227666219
2496	247	777	0.984375	0.5688545688545686	0.013507890701293945
2560	248	803	0.984375	0.5680780406807803	0.013948909441630046
2624	252	823	0.984375	0.5668286755771565	0.014399345715840657
2688	255	843	0.984375	0.5662317121391852	0.014882981777191162
2752	256	863	0.984375	0.5660486674391655	0.015384836991628011
2816	258	877	0.984375	0.565184340554922	0.015866859753926595
2880	261	893	0.984375	0.5662560656961552	0.016364630063374838
2944	263	913	1.0	0.5662650602409637	0.016862587134043375
